route_no,originating_point,terminating_point,stoppages
3,Sealdah,Esplanade,"['Dahighat', 'Elgin', 'Esplanade', 'Hazra', 'Khidderpur', 'Mallick', 'Mominpur', 'Moulali', 'Park', 'Road', 'Sealdah', 'Squre', 'Subod', 'street']"
15,Ultadanga,Howrah Station,"['Ave', 'B.K.Paul', 'Bridge', 'East', 'Ghat', 'Grey', 'Hatibagan', 'Howrah Station', 'Khanna', 'Nimtala', 'Stn', 'Ultadanga']"
33,Chetla,Paikpara,"['Alipur Rd', 'Bondel', 'Chetla', 'Darga Rd', 'Hazra', 'Kalighat', 'Khanna', 'Manicktala', 'Moulali', 'Padmapukur', 'Paikpara', 'Sealdah', 'Shyambazar']"
7A,Sarsuna,Howrah Station,"['Bondel', 'Darga', 'Howrah Station', 'Khanna', 'Manicktala', 'Moulali', 'Padmapukur', 'Paikpara', 'Sarsuna', 'Sealdha', 'Shyambazar']"
11A,Dum Dum,Howrah Station,"['Ave', 'B.B.D.Bag', 'Bakultala', 'Barabazar', 'Bedon', 'Behala', 'Bridge', 'Casurina', 'Chowrasta', 'Chria', 'Crossing', 'Depot', 'Dum', 'Dum Dum', 'East', 'Esplanade', 'Howrah Station', 'Khidirpor', 'Manicktala', 'Manton', 'Mominpor', 'Sarsuna', 'Shyambazar', 'Squre', 'Stn', 'Taratala', 'Tram']"
14A,Bichalighat,Bikash Bhavan,"['Abestors', 'Bazar', 'Beliaghata', 'Bhavan', 'Bichalighat', 'Bikash', 'Bikash Bhavan', 'Bridge', 'Cannel', 'Central', 'College', 'Dockyard', 'Esplanade', 'Fancy', 'HMG', 'Halder', 'Hastings', 'J.K.Island', 'Jora', 'Karunamoyee', 'Khiderpore', 'Main', 'Mandir', 'Market', 'Mayo', 'Metiabruj', 'More', 'Moulali', 'Para', 'Park', 'Ramnagar', 'Rashmoni', 'Road', 'Sealdah', 'Subodh Mallick Square', 'Unnayan']"
5-N,Garia,Nabanna,"['Bagan', 'Baghajatin', 'D.Park', 'Elgin', 'Exide', 'Ganguli', 'Garia', 'Golpark', 'Hazra', 'Jadavpur', 'Nabanna', 'P.T.S', 'R.B.Ave', 'dhakuria']"
6-N,Garia,Nabanna,"['Elgin', 'Exide', 'Garia', 'Hazra', 'Metro', 'Nabanna', 'Naktala', 'PTS', 'Phari', 'R.B.Ave', 'Ranikhuti', 'Regentpark', 'Tollygunge']"
12N,Thakurpukur,Nabanna,"['3A', 'D.H Road', 'Hastings', 'Khidderpore', 'Mominpur', 'Nabanna', 'Taratala Xing', 'Thakurpukur', 'Vidhya Sagar Setu']"
AC-1,Jadavpur,Howrah Station,"['Elgin', 'Esplanade', 'Hazra', 'Howrah Station', 'Jadavpur', 'Prince A.Saha Rd', 'Tollygunge']"
